review_id,order_id,product_id,product_name,product_category,rating,review_date,verified_purchase,review_text
1,ORD-1001,WEP-001,Wireless Earbuds Pro,electronics,5,1/4/2026,TRUE,Battery life is an absolute joke. I charge these every night and they're dead by lunch. Advertised 8 hours is a complete lie. Returning them.
2,ORD-1002,WEP-001,Wireless Earbuds Pro,electronics,2,1/5/2026,TRUE,Sound is genuinely great but the left earbud keeps disconnecting every 10 minutes. Have to put them back in the case and re-pair every time.
3,ORD-1003,WEP-001,Wireless Earbuds Pro,electronics,5,1/6/2026,TRUE,"Best earbuds I've owned at this price. Sound is warm and rich, ANC is surprisingly good. Highly recommend to anyone."
4,ORD-1004,WEP-001,Wireless Earbuds Pro,electronics,1,1/8/2026,TRUE,"Case doesn't charge the earbuds properly. Left them in overnight, woke up to 0%. The latch is too loose and they don't sit on the contacts."
5,ORD-1005,WEP-001,Wireless Earbuds Pro,electronics,3,1/10/2026,FALSE,Decent sound but no EQ controls in the app is a real miss. I want to boost the bass. The flat default is too mid-heavy for my taste.
6,ORD-1006,WEP-001,Wireless Earbuds Pro,electronics,1,1/12/2026,TRUE,Package arrived completely crushed. The earbuds still work but the case has a dent and the box was soaked. Terrible packaging from the warehouse.
7,ORD-1007,WEP-001,Wireless Earbuds Pro,electronics,2,1/13/2026,TRUE,"Ordered on Jan 3, arrived Jan 12. Website said 3-5 days. Nine days is not 3-5 days. No tracking updates for 4 of those days."
8,ORD-1008,WEP-001,Wireless Earbuds Pro,electronics,4,1/14/2026,TRUE,Really happy with the ANC. Blocks out my open office completely. Battery could be better but sound quality makes up for it.
9,ORD-1009,WEP-001,Wireless Earbuds Pro,electronics,1,1/15/2026,TRUE,Left earbud drops connection constantly. Right one is totally fine. Classic hardware defect. Exchanged once and got the same issue again.
10,ORD-1010,WEP-001,Wireless Earbuds Pro,electronics,5,1/16/2026,TRUE,"Incredible sound for the price. Punchy bass, clear mids. Wore them for a 3-hour flight with ANC on and it was fantastic."
11,ORD-1011,WEP-001,Wireless Earbuds Pro,electronics,2,1/18/2026,TRUE,Requested a refund 10 days ago. Still waiting. Support keeps saying 'under review'. This is completely unacceptable for a simple return.
12,ORD-1012,WEP-001,Wireless Earbuds Pro,electronics,1,1/19/2026,TRUE,App crashes every time I try to save EQ settings on Android 14. Completely unusable. iOS users seem fine. Fix the Android app.
13,ORD-1013,WEP-001,Wireless Earbuds Pro,electronics,5,1/21/2026,FALSE,The noise cancellation on these is seriously impressive. My coworkers have headphones costing 3x as much and these match them easily.
14,ORD-1014,WEP-001,Wireless Earbuds Pro,electronics,2,1/22/2026,TRUE,Really wanted to love these. Sound is beautiful. But the battery life with ANC on is about 2 hours. Unusable for my commute.
15,ORD-1015,WEP-001,Wireless Earbuds Pro,electronics,1,1/24/2026,TRUE,Delivered to wrong address. Neighbour brought it over two days later. Courier marked it delivered to correct address. That's fraud.
16,ORD-1016,WEP-001,Wireless Earbuds Pro,electronics,4,1/25/2026,TRUE,"Fit is comfortable for me, I have smaller ears. Sound is exceptional. Minor gripe: no auto-pause when you take one out."
17,ORD-1017,WEP-001,Wireless Earbuds Pro,electronics,1,1/26/2026,TRUE,Charging case hinge cracked after 3 weeks. The plastic quality is terrible. Earbuds still work but this is cheap build quality for the price.
18,ORD-1018,WEP-001,Wireless Earbuds Pro,electronics,3,1/28/2026,TRUE,Mic quality is poor on calls. The person I'm talking to says I sound muffled especially outdoors. Wind noise is awful.
19,ORD-1019,WEP-001,Wireless Earbuds Pro,electronics,5,1/29/2026,TRUE,"Just wow. ANC, great sound, comfortable. My only wish is they supported connecting to two devices at once. Will definitely buy again."
20,ORD-1020,WEP-001,Wireless Earbuds Pro,electronics,2,1/30/2026,TRUE,Left earbud disconnects within minutes every single time. I've factory reset twice. Nothing has been fixed based on the reviews.
21,ORD-1021,FSH-002,Slim Fit Chinos,fashion,5,1/4/2026,TRUE,"Perfect fit straight out of the bag. True to size, great stretch in the fabric. Comfortable for office and casual. Will order every colour."
22,ORD-1022,FSH-002,Slim Fit Chinos,fashion,1,1/5/2026,TRUE,Runs at least two sizes small. I'm normally a 32 and the 32 barely gets past my thighs. The size chart is completely wrong. Returning.
23,ORD-1023,FSH-002,Slim Fit Chinos,fashion,2,1/7/2026,TRUE,Material feels cheap and scratchy. Not what the product photos suggest at all. Seams are uneven and one pocket is misaligned.
24,ORD-1024,FSH-002,Slim Fit Chinos,fashion,4,1/9/2026,TRUE,"Good quality for the price. Fabric is soft, colour is accurate to the photos. Slight stretch makes them very comfortable."
25,ORD-1025,FSH-002,Slim Fit Chinos,fashion,1,1/11/2026,TRUE,"Ordered navy, received khaki. The packing slip even says navy. Someone clearly picked the wrong item. Now have to go through a return."
26,ORD-1026,FSH-002,Slim Fit Chinos,fashion,3,1/13/2026,FALSE,Fit is okay but waist is tight while thighs are loose. The cut is not ideal for athletic builds. Sizing guidance should mention this.
27,ORD-1027,FSH-002,Slim Fit Chinos,fashion,5,1/15/2026,TRUE,Exceptional quality for the price point. The fabric is thick and premium feeling. Holds its shape after washing. Bought three pairs.
28,ORD-1028,FSH-002,Slim Fit Chinos,fashion,1,1/17/2026,TRUE,Arrived 11 days after ordering with no communication. Estimated delivery was 4 days. No one answered when I called support to chase it.
29,ORD-1029,FSH-002,Slim Fit Chinos,fashion,2,1/19/2026,TRUE,Stitching on the back pocket came apart after two washes. These are not durable at all. Disappointed given the price.
30,ORD-1030,FSH-002,Slim Fit Chinos,fashion,4,1/21/2026,TRUE,Nice chinos overall. Colour is rich and accurate. Fits true to size for me. Only minor issue is the zipper feels slightly cheap.
31,ORD-1031,FSH-002,Slim Fit Chinos,fashion,1,1/23/2026,TRUE,"Return process is a nightmare. Website says free returns but the portal is broken. Been trying for 5 days, ticket still open, no response."
32,ORD-1032,FSH-002,Slim Fit Chinos,fashion,5,1/25/2026,TRUE,"These are my new favourite trousers. Slim without being tight, stretchy without being baggy. Colour doesn't fade after multiple washes. Love them."
33,ORD-1033,FSH-002,Slim Fit Chinos,fashion,2,1/27/2026,TRUE,Size M fits like an XS. Had to return and size up twice. The size guide on the website is inaccurate and cost me a lot of time.
34,ORD-1034,FSH-002,Slim Fit Chinos,fashion,1,1/29/2026,TRUE,Received a completely different item — a women's blouse in my order. How does this happen? Now waiting for them to fix their mistake.
35,ORD-1035,FSH-002,Slim Fit Chinos,fashion,3,1/31/2026,TRUE,Decent product but the inseam is shorter than the listed length. Fine if you're under 6ft but I had to return for a different option.
36,ORD-1036,FSH-002,Slim Fit Chinos,fashion,5,2/2/2026,TRUE,"Best chinos I've bought online. Fit is spot on, material is excellent, arrived in 2 days. Exactly what was described. Very happy."
37,ORD-1037,FSH-002,Slim Fit Chinos,fashion,2,2/4/2026,TRUE,Fabric pills after just a few washes. Looks worn out in weeks. For the price I expect much better durability.
38,ORD-1038,FSH-002,Slim Fit Chinos,fashion,1,2/6/2026,TRUE,Support chat is useless. Been trying to sort a refund for a wrong item for 2 weeks. Agents keep closing the ticket without resolving it.
39,ORD-1039,FSH-002,Slim Fit Chinos,fashion,4,2/8/2026,TRUE,"Really pleased with these. Soft material, accurate sizing, smart look. Would buy again. Delivery was quick too."
40,ORD-1040,FSH-002,Slim Fit Chinos,fashion,1,2/10/2026,TRUE,Colour faded dramatically after first wash. The navy is now more of a grey. Clearly poor dye quality. Not what I paid for.
41,ORD-1041,HMG-003,Smart Coffee Maker,home_goods,5,1/5/2026,TRUE,"This coffee maker is a game changer. App scheduling is seamless, coffee quality is consistently excellent, and it looks beautiful on my counter."
42,ORD-1042,HMG-003,Smart Coffee Maker,home_goods,1,1/7/2026,TRUE,Leaks from the water reservoir every single time. My counter is soaked after every brew. Completely unusable. Returning immediately.
43,ORD-1043,HMG-003,Smart Coffee Maker,home_goods,2,1/9/2026,TRUE,App disconnects from the machine constantly. Have to re-pair via Bluetooth every morning which defeats the entire purpose of smart scheduling.
44,ORD-1044,HMG-003,Smart Coffee Maker,home_goods,4,1/11/2026,TRUE,"Really great coffee quality. Heating is even, flavour is excellent. App could be more reliable but the manual controls work perfectly."
45,ORD-1045,HMG-003,Smart Coffee Maker,home_goods,1,1/13/2026,TRUE,Arrived with the glass carafe cracked. Clearly not inspected before shipping. Getting a replacement but shouldn't have to deal with this.
46,ORD-1046,HMG-003,Smart Coffee Maker,home_goods,5,1/15/2026,TRUE,"Best purchase I've made this year. Coffee is incredible, setup took 5 minutes, app is intuitive. Waking up to fresh coffee is life changing."
47,ORD-1047,HMG-003,Smart Coffee Maker,home_goods,2,1/17/2026,TRUE,Grinder is extremely loud. Wakes up the whole house at 6am. There is no slow-start or quiet mode. Completely defeats the purpose of scheduling.
48,ORD-1048,HMG-003,Smart Coffee Maker,home_goods,1,1/19/2026,TRUE,Refund approved 3 weeks ago. Money still not in my account. Support says it's 'processing'. Three weeks for a bank transfer is not acceptable.
49,ORD-1049,HMG-003,Smart Coffee Maker,home_goods,4,1/21/2026,TRUE,"Great coffee maker. Temperature control is precise, the brew strength options are well calibrated. Would love a quieter grinder."
50,ORD-1050,HMG-003,Smart Coffee Maker,home_goods,1,1/23/2026,TRUE,Water reservoir cracked after 6 weeks of normal use. The plastic is clearly too thin. This is a design flaw not a one-off.
51,ORD-1051,HMG-003,Smart Coffee Maker,home_goods,5,1/25/2026,TRUE,"I've tried many coffee makers and this is the best. Temperature precision, brew strength options, app scheduling — all perfect. Highly recommend."
52,ORD-1052,HMG-003,Smart Coffee Maker,home_goods,2,1/27/2026,TRUE,App crashes on iOS 17 when trying to set a schedule. Worked for a week then stopped. Manual brewing works but I paid for smart features.
53,ORD-1053,HMG-003,Smart Coffee Maker,home_goods,1,1/29/2026,TRUE,"Took 15 days to arrive. Ordered express shipping and was charged for it. No explanation, no refund of the shipping cost. Terrible service."
54,ORD-1054,HMG-003,Smart Coffee Maker,home_goods,4,1/31/2026,TRUE,Excellent build quality and great tasting coffee. The temperature holds steady throughout the brew. Minor issue with app but coffee is the priority.
55,ORD-1055,HMG-003,Smart Coffee Maker,home_goods,3,2/2/2026,TRUE,Decent coffee maker with a flawed app. The manual experience is great but half the smart features don't work reliably. Could be much better.
56,ORD-1056,HMG-003,Smart Coffee Maker,home_goods,1,2/4/2026,TRUE,The carafe handle snapped off after 2 months of normal use. The weld point is clearly a weak point in the design. Dangerous if it had been full.
57,ORD-1057,HMG-003,Smart Coffee Maker,home_goods,5,2/6/2026,TRUE,"Perfect in every way. Coffee quality is outstanding, app works flawlessly since the update, and the design looks premium. Worth every penny."
58,ORD-1058,HMG-003,Smart Coffee Maker,home_goods,2,2/8/2026,TRUE,"Three chat agents, two emails, still no resolution on my refund. Every agent asks for the same information. The support process is broken."
59,ORD-1059,HMG-003,Smart Coffee Maker,home_goods,4,2/10/2026,TRUE,Love this machine. Coffee is consistently better than my old maker. The app scheduling is convenient when it works. Build quality feels solid.
60,ORD-1060,HMG-003,Smart Coffee Maker,home_goods,1,2/12/2026,TRUE,App won't connect to machine after the latest firmware update. Support told me to wait for a patch. I paid for smart features not a basic kettle.
61,ORD-1061,WEP-001,Wireless Earbuds Pro,electronics,2,2/1/2026,TRUE,Battery after firmware 2.3 update is 2 hours. Before it was 6-7 hours. Whatever changed in that update destroyed battery life completely.
62,ORD-1062,WEP-001,Wireless Earbuds Pro,electronics,5,2/3/2026,TRUE,Phenomenal sound quality. I'm an audio engineer and these are impressive at this price. The tuning is clearly done by people who care.
63,ORD-1063,WEP-001,Wireless Earbuds Pro,electronics,1,2/5/2026,TRUE,"Arrived in a bag not a box. Earbuds unprotected, case scratched, no documentation included. Looked like someone returned these already."
64,ORD-1064,WEP-001,Wireless Earbuds Pro,electronics,3,2/7/2026,TRUE,Switched from Sony WF-1000XM5 hoping to save money. Sound is comparable but missing multipoint Bluetooth and battery is worse. Might go back.
65,ORD-1065,WEP-001,Wireless Earbuds Pro,electronics,2,2/9/2026,TRUE,Charging contacts corrode quickly. After 5 weeks mine stopped charging one earbud. Had to physically bend the contact pin back. Poor build.
66,ORD-1066,FSH-002,Slim Fit Chinos,fashion,5,2/1/2026,TRUE,"These are the best trousers I own. Premium fabric, accurate sizing, excellent stitching. Wear them twice a week and they still look new."
67,ORD-1067,FSH-002,Slim Fit Chinos,fashion,1,2/3/2026,TRUE,"Ordered Jan 20, still not here Feb 3. Tracking hasn't updated in 8 days. Support says it's lost in transit. Now waiting for a replacement."
68,ORD-1068,FSH-002,Slim Fit Chinos,fashion,2,2/5/2026,TRUE,Seam on the right leg split after 3 wears. These are not durable at all for the asking price. Quality control is clearly lacking.
69,ORD-1069,FSH-002,Slim Fit Chinos,fashion,4,2/7/2026,TRUE,"Nice trousers. Fit is accurate, fabric is comfortable. Colour matched the website perfectly. Quick delivery too, arrived next day."
70,ORD-1070,FSH-002,Slim Fit Chinos,fashion,1,2/9/2026,TRUE,Return label keeps failing to generate. Website errors every time. Been stuck with the wrong size item for 12 days now. Very frustrated.
71,ORD-1071,FSH-002,Slim Fit Chinos,fashion,5,2/11/2026,TRUE,Absolutely love these. The stretch fabric makes them suitable for everything from meetings to hiking. Best everyday trousers I've found.
72,ORD-1072,FSH-002,Slim Fit Chinos,fashion,3,2/13/2026,TRUE,Decent trousers but the fit around the hips is strange. Slim through the leg but too much fabric at the hip. Looks boxy from behind.
